issueid,STR.REQ,class,label
DD-536,Each individual UAV that is included in a MissionPlan shall have an ordered list of one or more flight routes assigned to it.,0,Design Definition
DD-535,If a UAV is in the air when a flight plan is assigned  the takeoff altitude in the flight plan is ignored.,0,Design Definition
DD-534,If no takeoff altitude is prescribed in the flight plan assigned to a UAV currently on the ground  then the system-wide default altitude is used as the target takeoff altitude.,0,Design Definition
DD-533,If a takeoff altitude is prescribed in the flight plan assigned to a UAV currently on the ground  then that altitude is used as the target takeoff altitude.,0,Design Definition
DD-532,When the takeoff command is issued  the _FlightSchedulingAndExecution _checks for a pre-specified altitude in the flight plan.,0,Design Definition
DD-530,When the UAV reaches a target waypoint  if additional waypoints are specified in the flight plan  then the _VehicleCore_  shall send the next waypoint to the UAV's _GCS_.,0,Design Definition
DD-529,If the computed distance from the UAV to the target waypoint is less than {{THRESHOLD_WAYPOINT_DISTANCE}} than the waypoint shall be considered reached.,0,Design Definition
DD-528,When the _VehicleCore_ receives the UAV's current coordinates and if the UAV has an assigned target waypoint  then the _VehicleCore_ shall compute the current distance to the target waypoint.,0,Design Definition
DD-527,At the start of a flight plan the system shall send the first target waypoint to the UAV's _GCS_.,0,Design Definition
DD-526,When the hover in place command is rescinded the UAV's state is reverted to its previous state.,0,Design Definition
DD-524,If the UAV is in 'hover in place' mode then no waypoints directives for that UAV shall be sent to the _GCS_.,0,Design Definition
DD-522,"""When the UAV is commanded to hover in place  its state is changed to """"hover in place"""" and a command is sent to the GCS.""",0,Design Definition
DD-520,When the UAV is commanded to return to home  the current flight plan shall be removed and a new flight plan shall be created containing only a single waypoint representing its original launch coordinates.,0,Design Definition
DD-519,Direction between two coordinates shall be specified using a velocity vector from the first coordinate.,0,Design Definition
DD-518,Distances computed between two coordinates shall be accurate within 1 meter over a distance of 400 000 meters.,0,Design Definition
DD-515,When requested  coordinates shall be transformed from p-vectors to the default representation.,0,Design Definition
DD-514,When requested  coordinates shall be transformed from n-vectors to the default representation.,0,Design Definition
DD-513,When requested  the _CoordinateSystem_ shall be transform coordinates from the default representation to p-vectors.,0,Design Definition
DD-512,When requested  the _CoordinateSystem_ shall transform coordinates transformed from the default representation to n-vectors.,0,Design Definition
DD-511,The default coordinate representation shall use LLA (longitude  latitude  altitude) format.,0,Design Definition
DD-509,The flight route xml format includes an optional takeoff altitude tag,0,Design Definition
DD-507,When the _UIMiddleware_ requests a flight route identified by its unique name  the _FlighRouteManager _shall retrieve the associated file.,0,Design Definition
DD-506,When a flight route is uploaded to Dronology  the _FlightRouteManager_ shall  save it under a unique name as an xml file.,0,Design Definition
DD-504,Upon receipt of a new or modified flight route from the UI middleware  the _FlightRouteManager_ shall check that it is a {{VALID_FLIGHT_ROUTE}}  i.e.  that all waypoints are valid coordinates and that the flight route contains at least one waypoint.,0,Design Definition
DD-502,Flight routes shall be specified in the standard XML_FlightRoute format.,0,Design Definition
DD-500,When a mode change message to {USER_CONTROLLED}} is received the Vehicle shall transition to  {USER_CONTROLLED}}.,0,Design Definition
DD-498,When a UAV is executing flight plans and reaches a synchronization point  which is followed by a delay task  it shall wait to proceed until the delay specified in seconds is expired,0,Design Definition
CO-484,Simple collision avoidance implementation that stops UAVs when they violate a minimum safety distance.,0,Feature
CO-481,Collision Avoidance API and general services,0,Feature
CO-480,Provides capabilities for creating and executing complex flight patters for multiple UAVs,0,Feature
CO-477,Single UAV flight plan assignments (taking an existing route  instantiating it  and assigning to a UAV),0,Feature
CO-476,Provides capabilities for executing missions with multiple UAVs,0,Feature
CO-475,Provides capabilities for executing flights assigned to a UAV.,0,Feature
CO-474,Provides basic flight related capabilities for UAVs.,0,Feature
CO-473,Provides 3 dimensional coordinate system currently based on longitude  latitude  and altitude.   Provides conversion between various coordinate systems.,0,Feature
CO-472,Provides capabilities for creating and managing flight routes within Dronology.,0,Feature
DD-468,The _MissionPlanner_ shall provide an interface to support the execution of predefined missions specified in JSON.,0,Design Definition
DD-445,The _DronologyRuntimeMonitor_ shall allow to publish arbitrary monitoring messages and subscribe to certain message types,0,Design Definition
DD-439,The open street map component shall support multiple map providers.,0,Design Definition
DD-421,Waypoints in a flight route shall be colored so as to differentiate between the starting waypoint  ending waypoint  and all remaining intermediate waypoints.,0,Design Definition
DD-362,The _MissionPlanner _shall synchronize and coordinate the flights of multiple UAVs.,0,Design Definition
DD-361,In step one  the _GCS_ announces itself to the _GCSMiddleware_ providing its unique ID.,0,Design Definition
DD-354,The _GCSMiddleware_ shall handle multiple _GCS_ at the same time.,0,Design Definition
DD-352,When routes are assigned to a UAV a request shall be sent to the _UIMiddleware_ to update the assignment in Dronology.,0,Design Definition
DD-229,The UI shall display the waypoints and their connections.,0,Design Definition
DD-213,All commands sent to and messages received from a _CGC_ shall be logged to a dedicated GCS log file,0,Design Definition
CO-184,The internal simulator provides low-fidelity features for supporting quick initial tests of a virtual UAV.  Features include takeoff  goto  land  and battery health.  ,0,Feature
DD-177,Position reckoning shall utilize the WGS-84 reference system.,0,Design Definition
DD-168,Upon loading  the UI requests all existing routes from the _UIMiddleware_. Once the _UIMiddleware_ respond to the request  the UI displays all existing routes,0,Design Definition
DD-122,Configuration parameters  including map coordinates  scale  map style  and color scheme shall be stored in a JSON Object on the server,0,Design Definition
DD-121,The UAV location shall be updated on the map at the currently defined {{UI_UAV_REFRESH_RATE}},0,Design Definition
DD-119,Unless otherwise configured in the configuration parameters  the map shall be centered at White Field  University of Notre Dame  South Bend IN.,0,Design Definition
DD-118,When loading the map  it shall be scaled as specified in the configuration.,0,Design Definition
DD-117,If no scale information is provided in the configuration  the map shall display at a scale of {{MAP_DEFAULT_SCALE}}.,0,Design Definition
DD-113,The name  state  battery level  speed  and current coordinates of each UAV shall be displayed.,0,Design Definition
CO-105,Manages all aspects of displaying flights and UAVs in real-time and interacting with them.  The flight view displays active routes  UAV coordinates  and their current health.  The map uses zoom and panning features to follow one or more selected UAV.,0,Feature
DD-104,All flight plans executed and waypoints reached shall be logged to a dedicated flight log file.,0,Design Definition
CO-91,Python based system that manages and controls UAVs.  Communicates with Dronology via the Ground Station middleware. Each GCS is responsible for communicating directly with each UAV  sending it commands and monitoring its state including its current position  flight mode  and  health.,0,Feature
CO-90,Handles connections between Dronology and Ground Control Stations (GCS). Forwards commands  monitoring  and other messages from Dronology to its registered GCS and passes messages describing the state of the UAVs managed by each GCS back to dronology.,0,Feature
DD-87,A flight plan shall be unassigned from a UAV by removing it from the UAV's flight plan queue.,0,Design Definition
DD-85,The pending flight plans of a UAV may be reordered,0,Design Definition
DD-84,By default  the pending flight plansof a UAV's shall be serviced in FCFS order.,0,Design Definition
DD-81,If the flight plan queue is empty when the UAV reaches the final waypoint of its current flight plan  then its state is set to {{IN_AIR}}.,0,Design Definition
DD-75,Flight routes shall be created externally and uploaded to Dronology via the UI middleware.,0,Design Definition
DD-33,When a UAV is in {{FLYING}} state and has no currently executing flight plan it transitions to {{IN_AIR}},0,Design Definition
DD-32,When a UAV in the TAKING_OFF state achieves the target altitude it transitions to FLYING state.,0,Design Definition
DD-31,When permission is granted to UAV in the {{AWAITING_TAKEOFF_CLEARANCE}} state it transitions to {{TAKING_OFF}} state.,0,Design Definition
DD-30,When a flight plan is assigned to a UAV in the {{ON_GROUND}} state it transitions to the {{AWAITING_TAKEOFF_CLEARANCE}} state.,0,Design Definition
DD-27,Each UAV has zero or more pending flight plans.,0,Design Definition
DD-26,When a UAV is initially activated on the ground it is in the {{ON_GROUND}} state,0,Design Definition
DD-24,Altitude shall be specified in meters,0,Design Definition
DD-23,All waypoints shall be specified using degrees longitude and latitude using Decimal Degrees format (e.g. 38.6556758  -77.7872153),0,Design Definition
DD-22,A client may register with the _UIMiddleware_ to receive notifications whenever unexpected events occur.,0,Design Definition
DD-21,A client shall register with the _UIMiddleware_ to receive notifications whenever UAV instances are activated or deactivated.,0,Design Definition
DD-20,A client shall register with the _UIMiddleware_ to receive notifications whenever a new flight plan is activated or executed,0,Design Definition
DD-19,A client shall register with the _UIMiddleware_ to receive notifications whenever a new UAV type configuration is created  modified  or deleted.,0,Design Definition
DD-18,A client shall register with the _UIMiddleware_ to receive UAV type specification events whenever a new UAV type specification is created  modified  or deleted.,0,Design Definition
DD-11,A client shall register with the _UIMiddleware_ to receive flight route event notifications whenever a flight route is created  modified  or deleted.,0,Design Definition
ST-347,Implement the edit and delete functions for the buttons in the route list (see attached). They should behave the same (popup a window when deleting etc.) as the buttons in the route information bar.,0,Sub-task
ST-210,"""Use the enableRouteEditing() and disableRouteEditing() methods in the MapRouteUtility class.    When the edit button is clicked  the map and the table enter edit mode. A thicker border is shown around the map and table to indicate edit mode (see mockup). Two buttons are added on top of the map/table area: Save and Cancel.    In the edit mode  users can create new waypoints  move waypoints  remove waypoints  etc. When the edit mode is not activated  disable these editing functionalities.    Clicking the """"Save"""" button will send the current waypoints data to dronology and exit the edit mode. Clicking the """"Cancel"""" button will undo all changes (fetch the data from dronology again) and exit the edit mode.  """,0,Sub-task
ST-497,,0,Sub-task
ST-358,"""In the following mode  selecting new UAVs will add them to the group of UAVs that is currently following; unselecting UAVs will remove them from the group. Update the indicator bar accordingly as well.    When the last UAV is unselected  zoom out to show all UAVs (i.e. perform the function same as """"Show all UAVs on the map"""").""",0,Sub-task
ST-357,"""When the UI is following one or more UAVs  show a thick border around the map and a UI bar on top of the map (see the attached image). Clicking on """"Stop Following"""" will perform the same functionality as """"Show all UAVs on the map"""".    Refer to the FREditBar class for an implementation example.""",0,Sub-task
ST-403,After clicking the follow mode button  the screen should zoom in to the drones. Then the user should be able to zoom in and out to their choosing afterwards.,0,Sub-task
ST-282,"""Add a component above """"Emergency Operations"""" called """"Map View Operations"""". Add two button in it called """"Follow Selected UAVs on Map"""" and """"View All UAVs on Map"""". When no UAV is selected  the button """"Follow Selected UAVs"""" is disabled; once a UAV is selected  the button is enabled.    Clicking on """"Follow Selected UAVs"""" will automatically zoom and pan the map so that all selected UAVs (or rather the rectangle that bounds all selected UAVs) are always centered in the map and constitutes for about 60% of the view.    Clicking on """"View All UAVs"""" will zoom and pan the map so that all UAVs and their planned routes (or rather the rectangle that bounds all UAVs and their planned routes) are centered in the map and constitutes for about 60% of the view.""",0,Sub-task
ST-208,Create the emergency operation buttons specified in the mockup ,0,Sub-task
ST-218,,0,Sub-task
ST-305,"""Connect the """"Return to home"""" button for each UAV to Dronology. When the button is clicked  popup a modal window saying """"Are you sure to send [UAV name] to its home?""""  with two buttons """"Yes"""" and """"No"""". Clicking """"Yes"""" will send the UAV to home. Clicking """"No"""" will simply close the window.    For the Emergency Operations:  * When no UAV is selected  clicking """"All UAVs Return to Home"""" will popup a modal window saying """"Are you sure to send all UAVs to their homes?"""" -- clicking """"Yes"""" will send all UAVs to home.  * When there are selected UAVs  change the text of the button to """"Selected UAVs Return to Home"""" -- clicking it will popup a modal window saying """"Are you sure to send [UAV name_1]  [UAV name_2]  ...  and [UAV name_n] to their homes?"""" -- send the selected UAVs to their homes when the user clicked """"Yes"""".""",0,Sub-task
ST-444,,0,Sub-task
ST-247,In the map  the past flight path that the UAV has already covered (behind the UAV) is shown in dotted lines. The flight route that the UAV is going to cover is shown in regular lines.,0,Sub-task
ST-304,"""This only applies to the icons and lines on the map.  By default  all UAVs use drone_icon.png  all flight route lines are in color #444.  For selected UAVs (UAVs with the checkbox checked)  use drone_icon_selected.png and change the line color to #000.  For the focused UAV (the UAV that the user clicks on)  use drone_icon_focused.png and chagne the line color to #d87703.""",0,Sub-task
ST-428,,0,Sub-task
ST-224,,0,Sub-task
ST-280,When the UI is loaded  automatically move the map so that all registered UAVs and their planned routes (or rather the rectangle that bounds all UAVs and their planned routes) are visible in the center of the map; also  zoom the map so that all registered UAVs and their planned paths constitutes about 60% of the map.,0,Sub-task
ST-221,,0,Sub-task
ST-217,,0,Sub-task
ST-215,,0,Sub-task
ST-346,"""When the delete button in bar on top of the route map is clicked  popup a modal window saying """"Are you sure to delete the route [route name]?""""  including two buttons: Yes and No. When clicked """"Yes""""  remove the route in dronology  close the window  and update the UI. When clicked """"No""""  simply close the window.    When in edit mode  the route can still be deleted. Remember to exit the edit mode before deleting the route.""",0,Sub-task
ST-349,"""LMap already manages all pins and polylines on the map. We should not manage them again.    Get rid of  private List<LPolyline> polylines = new ArrayList<>();  and  private List<LMarker> pins = new ArrayList<>();    Instead use map.getComponentIterator() to retrieve the pins and polylines""",0,Sub-task
ST-169,"""Upon user request a new empty flight route is created:    When the “Add a New Route” button is clicked  a modal window pops up and asks users to input the name for the new route. Two buttons are displayed on the window:    - “Cancel” to cancel adding the route  - “Draw Route” to add a new route  auto-select the route  and enter the Editing Mode.""",0,Sub-task
ST-226,"""When mouse click on the waypoint  instead of removing it directly  show a Window next to the waypoint that includes (1) its information (lat  lon  altitude  and approaching speed) and (2) a button says """"remove waypoint"""" -- clicking on the button will remove the waypoint.""",0,Sub-task
ST-176,By clicking on a line connecting 2 existing waypoints  a new waypoint is added in between these 2 waypoints,0,Sub-task
ST-175,When an existing waypoint is selected on the map it can be dragged to another location,0,Sub-task
ST-174,"""A waypoint can be removed from the route.    If the waypoint is the last in the list of waypoints the previous waypoint becomes the final waypoint    If the waypoint is the first in the list of waypoints the next waypoint becomes the starting waypoint    If the waypoint is not the last in the list of waypoints the previous waypoint will be connected with the next waypoint.    """,0,Sub-task
ST-173,"""When a user clicks on the map  a new waypoint is created and shown on the map and in the list    If the newly added waypoint is not the first one a line is added between the new one and the previous one.""",0,Sub-task
ST-233,,0,Sub-task
ST-199,"""Put the table view below the map (for now).  This table should be synced with the map when either the table or the route on the map changed.""",0,Sub-task
ST-308,"""Hide the """"id"""" and """"reached"""" columns. Add a column called """"#""""  which simply displays the order of the waypoint (1  2  3  ...).    """,0,Sub-task
ST-227,"""Add a trashcan button to the right of each row in the table. Clicking on the button will pop-up a window showing """"Are you sure you want to delete this waypoint?"""" and two buttons (Yes and No). When the user clicks on """"No""""  window closes and nothing happens. When the user clicks on """"Yes""""  remove the waypoint on that row from the table and remove that waypoint on the map  then close the window.""",0,Sub-task
ST-211,Make the table editable.,0,Sub-task
ST-373,"""Add route description under the route name in the meta info bar.  Double clicking on the route description will change it to a textfield for editing (similar behavior as the name field)  When creating a new route  add a text area for adding the route description.""",0,Sub-task
ST-200,"""Add a CostomComponent above the map to show the following info of the selected route (see the mockup for the layout):  * the name of the route  * the number of waypoints it has  * an edit button to activate editing  * a delete button (do not do anything for now)  * a checkbox saying """"Table View"""". When the checkbox is checked  show the table (grid) view below the map.    If no route is selected  show """"No route is selected"""" in the name area and disable all controls.""",0,Sub-task
ST-396,"""Check the user input for the altitude and speed on two places (1) the popup window for creating new waypoints and (2) the table when in edit mode. When the Save button (for the popup window) or the check mark button (for the table) is clicked  if the input altitude and/or speed are not float numbers  popup a notification saying """"Altitude and/or Transit speed must be a number."""" and do not save the input values.""",0,Sub-task
ST-246,"""When """"Assign New Route"""" button is clicked  show a *modal window* that occupies 90% of the screen. In the window  show the FRMainLayout and two buttons beneath the FRMainLayout: """"Cancel"""" and """"Apply"""".    Clicking """"Cancel""""  the user will be sent back to the active flights view.    When no route is selected  the """"Apply"""" button is disabled. Once a route is selected  enable the """"Apply"""" button. Clicking the """"Apply"""" button will popup another modal window (confirmation window) saying """"Are you sure you want [UAV name] to follow the route [route name]?"""" Clicking """"Yes"""" will assign the route to the UAV and close the modal windows. Clicking """"No""""  the user will be sent back to the route planning *modal window*.""",0,Sub-task
ST-369,,0,Sub-task
ST-385,,0,Sub-task
ST-384,"""When the user attempt to assign an empty route to a UAV (by trying to put an empty route from the right side panel to the left side)  prevent the route to be assigned and popup a notification saying """"There is no waypoint defined in [route name]. You cannot assign an empty route to a UAV.""""""",0,Sub-task
ST-281,When a new route is assigned to a UAV  automatically move the map so that all registered UAVs and their planned routes (or rather the rectangle that bounds all UAVs and their planned routes) are visible in the center of the map; also  zoom the map so that all registered UAVs and their planned paths constitutes about 60% of the map.,0,Sub-task
ST-279,,0,Sub-task
ST-228,When a route is clicked from the list  change its background on the list to indicate that it is selected  and then load its waypoints into the map and the table. ,0,Sub-task
ST-337,Implement the move/reorder functionality specified in the mockup file. Please read the callout notes on the mockup file.,0,Sub-task
ST-334,Create the assign routes layout based on the mockup file attached. Please read the callout notes on the mockup file.,0,Sub-task
ST-336,"""Implement the select route behavior. Ignore the notes on the mockup file  but use this:    Selecting a route on the left-hand side of the list will automatically select the matching route on the right-hand side and show the route on the map.     Selecting a route on the right-hand side will NOT auto-select any route on the left-hand side.""",0,Sub-task
ST-335,Implement the assign and remove functionality based on the mockup file. Please read the callout notes on the mockup file.,0,Sub-task
ST-245,,0,Sub-task
ST-260,"""To see if the haversine distance is an acceptable method for computing distance  it should be compared to travel distance and laser distance.    travel distance is the distance a drone would actually have to travel to get there (accounting for the shape of the Earth and assuming that changes in altitude would be gradual).    laser distance is the distance a laser beam would travel assuming line of sight. So it would compute this distance even when a laser would need to travel through the Earth. For example  if point A was at the North Pole and point B was at the South Pole  the laser distance would tell you the distance straight through the Earth.""",0,Sub-task
ST-262,"""Replace existing Coordinate implementation with new LlaCoordinate    This requires:  * updating the flight simulator to work with double values instead of long  * UI adaptations to display coordinates correctly  * additional functionality to modify waypoints (LlaCoordinate is now immutable)""",0,Sub-task
ST-261,This function should take two wgs-84 position one for the current position and another for the target position and the number of meters to travel. it should return a new wgs-84 position that is the specified distance away.,0,Sub-task
ST-259,Latitude needs to be calculated using atan2. See equation 6 in http://www.navlab.net/Publications/A_Nonsingular_Horizontal_Position_Representation.pdf,0,Sub-task
ST-286,"""Everyone should get to work with the position class that they are most comfortable with. And to enable everyone to get the most out of the position classes  distance functions should be provided to all classes. That is what motivates this abstract base class.    The class should have these methods:    laser Distance (that takes another WGS-84 position) -> returns a double  travel distance(that takes another WGS-84 position) -> returns a double  toNvector() -> returns an NVector  toPVector() -> returns a PVector  toLlaCoordinate() -> returns an LlaCoordinate  toRotMatrix() -> returns a matrix that can take displacement vectors from ECEF and rotate them into NED vectors""",0,Sub-task
ST-278,"""NvecInterpolator does position reckoning in WGS-84 and a replacement simulator that uses it needs to be created     * Do movement simulator and battery simulator   * Replicate all base functionality of simple simulator """,0,Sub-task
ST-180,"""An N-vector is a normal Vector that points out from the surface of the WGS-84 reference ellipsoid. The normal vector is combined with an altitude which represents the distance above (or below) the reference ellipsoid (note this is the distance above sea level as sea level is defined as the surface of the ellipsoid in WGS-84).    The n-vector and altitude together precisely define a position on Earth. The n-vector should be a unit vector (i.e. a vector with a magnitude = 1). The altitude should be in meters.    Why we need this:  In dead reckoning calculations we need to take a position and add a velocity vector to it. Drones often stay at constant elevations as they travel around the Earth. This is a problem when using p-vectors and velocity vectors. The instantaneous velocity is tangent to the reference ellipsoid and thus follows the curvature of the Earth. In aviation it is common to use n-vectors because there is a nice formula that addresses this exact problem. This also makes programming easier when considering edge cases like a drone flying east near the meridian where longitude = 180 degrees. Using latitude and longitude for this calculation requires special logic to handle the transition to longitude = -179.9999... degrees but no special logic is required when using n-vectors. N-vectors also handle gracefully the poles where longitude is undefined. For more information about n-vectors see [this article|http://www.navlab.net/Publications/A_Nonsingular_Horizontal_Position_Representation.pdf]      The following instance fields are needed in the nvector class:  * x - the x component of the n-vector  * y - the y component of the n-vector  * z - the z component of the n-vector  * altitude - the distance above sea level in meters    The following methods are needed in the n-vector class:  * toLla - takes no arguments and maps the n-vector and altitude to a latitude  longitude and altitude.  * toPvec - takes no arguments and maps the n-vector and altitude to an X  Y  and Z coordinate in the WGS-84 reference frame.  """,0,Sub-task
ST-178,"""We need an immutable class holding three doubles for latitude  longitude  and altitude (LLA).  This class should have the following data members:  * latitude - the angle north of the equator in degrees (negative angles define latitudes in the southern hemisphere)   * longitude - the angle east of the prime meridian in degrees (negative angles define longitudes in the western hemisphere)   * altitude - the distance above sea level or more precisely the distance above the surface of the WGS-84 reference ellipsoid. For this project we need this distance in meters (though traditionally  in aviation this distance is measured in feet so be careful when using this class)    This class should have the following methods  * toPvec - takes no arguments and maps LLA to an X  Y  and Z coordinate in the WGS-84 reference frame.  * toNvec - takes no arguments and maps LLA to a coordinate defined by an N-vector plus altitude. An N-vector is a normal vector on the surface of the WGS-84 reference ellipsoid. This ellipsoid defines the position of sea level everywhere on Earth. By pairing this with an altitude  we can precisely define a position. N-vectors have nice properties that make dead reckoning easier and more accurate (Dead reckoning is the process of calculating a drones current position by using a previously determined position  and advancing that position based upon known or estimated speeds over elapsed time and course. See https://en.wikipedia.org/wiki/Dead_reckoning for more info). To learn more about the nice properties that n-vectors have  see this article http://www.navlab.net/Publications/A_Nonsingular_Horizontal_Position_Representation.pdf from The Journal of Navigation.     Perhaps Coordinate.java may be modified into the LlaCoordinate class we need.""",0,Sub-task
ST-179,"""We need an immutable class holding three doubles for X  Y  and Z in the WGS-84 reference frame.    Here is some background information about the WGS-84 reference frame:    * The origin of this frame is at the center of mass of the Earth  * The X-axis points towards where the equator meets the prime meridean (latitude 0  longitude 0)  * The Z-axis points towards the geographic north pole (latitude 90  longitude undefined)  * The Y-axis can be derived using right hand rule and points towards latitude 0  longitude 90    This class should have the following instance fields:  * x - the position along the X-axis in meters  * y - the position along the Y-axis in meters  * z - the position along the Z-axis in meters    This class should have the following methods:  * toLla - takes no arguments and returns the latitude  longitude  and altitude for this position  * toNvec - takes no arguments and returns the n-vector plus altitude for this position""",0,Sub-task
ST-216,,0,Sub-task
ST-219,,0,Sub-task
ST-132,"""Follow the example on https://gist.github.com/kimmellj/bd97790d66c5fd1408e0 and create a singleton class for all UI parameters. Search for Java Singleton for other singleton examples.    The current parameters include: project_name  map_center_lan  map_center_lon  and map_default_zoom.    In the future  we will use this class for configurable parameters.""",0,Sub-task
ST-232,Currently  the UI refreshing rate to update drone info is hard-coded as once per 1000ms. Create a field in the configuration file and make it configurable.,0,Sub-task
ST-182,,0,Sub-task
ST-186,,0,Sub-task
ST-185,,0,Sub-task
